,date,has_setlist,name,tour,venue
1708,10-12-2008,False,Rekevin,No Tour Assigned,16 Tons
1709,10-12-2008,False,Micro Audio Waves,No Tour Assigned,
1710,09-12-2008,True,Poets of the Fall,No Tour Assigned,Tochka
1711,09-12-2008,True,Whitesnake,Good to be Bad,B1 Maximum Club
1712,07-12-2008,True,Joe Bonamassa,The Ballad of John Henry,Moscow International House Of Music
1713,06-12-2008,False,The Radio Dept.,No Tour Assigned,Ikra
1714,06-12-2008,False,Joe Bonamassa,The Ballad of John Henry,Moscow International House Of Music
1715,06-12-2008,True,Blutengel,No Tour Assigned,Tochka
1716,06-12-2008,False,Frozen Plasma,No Tour Assigned,Tochka
1717,06-12-2008,False,Dick4Dick,No Tour Assigned,Solyanka club
1718,06-12-2008,False,Madness,No Tour Assigned,B1 Maximum Club
1719,06-12-2008,False,VNV Nation,No Tour Assigned,Tochka
1720,09-11-2012,False,Narkotiki,No Tour Assigned,16 Tons
1721,09-11-2012,True,Orbital,No Tour Assigned,Izvestiya Hall
1722,09-11-2012,True,Splean,No Tour Assigned,Stadium Live
1723,09-11-2012,True,Dolphin,No Tour Assigned,Respublica Shop
1724,08-11-2012,False,Jonas Brothers,Jonas Brothers World Tour 2012/2013,Crocus City Hall
1725,07-11-2012,False,Alex Clare,No Tour Assigned,Milk
1726,07-11-2012,True,Garbage,Not Your Kind of People,Izvestiya Hall
1727,06-11-2012,True,Blessthefall,No Tour Assigned,Moskva Hall
1728,06-11-2012,False,Garou,No Tour Assigned,Crocus City Hall
1729,06-11-2012,True,Seether,European Tour 2012,Milk
1730,06-11-2012,True,Pompeya,No Tour Assigned,Serebryanniy Dozhd FM Studio
1731,05-11-2012,True,We Came as Romans,No Tour Assigned,Plan B Club
1732,04-11-2012,False,Aria,Master XXV Let,Live Music Hall
1733,04-11-2012,False,Master,Master XXV Let,Live Music Hall
1734,03-11-2012,True,IAMX,No Tour Assigned,Milk
1735,03-11-2012,True,AN CAFE,LIVE CAFE TOUR 2012 NYAPPY GO AROUND THE WORLD Ⅲ ~TADAIMA OKAERI~,Milk
1736,03-11-2012,True,Celldweller,Celldweller DJ Set / Live Preformance,16 Tons
1737,03-11-2012,False,NON,No Tour Assigned,Plan B Club
1738,03-11-2012,True,Manowar,The Lord of Steel World Tour,Stadium Live
1739,03-11-2012,True,Sodom,XXX 1982 - 2012,Moskva Hall
1740,24-11-2015,True,RavenEye,No Tour Assigned,Ray Just Arena
1741,24-11-2015,True,Infected Rain,No Tour Assigned,Rock House
1742,22-11-2015,True,Error 404,No Tour Assigned,Eduard Streltsov Stadium
1743,22-11-2015,False,Around The World in 80 Days,No Tour Assigned,Dewar's Powerhouse
1744,22-11-2015,False,Kirpichi,No Tour Assigned,Izvestiya Hall
1745,22-11-2015,True,Anaal Nathrakh,No Tour Assigned,Volta Club
1746,22-11-2015,True,Crazy Town,No Tour Assigned,Yotaspace
1747,21-11-2015,True,Saint Asonia,No Tour Assigned,Yotaspace
1748,21-11-2015,True,Vintage,No Tour Assigned,Olympijskiy Stadium
1749,21-11-2015,True,Akira Yamaoka,No Tour Assigned,Volta Club
1750,21-11-2015,True,Alla Borisovna Pugačëva,No Tour Assigned,Kremlin Palace
1751,21-11-2015,True,BondarevMIC,13,Vidnoe
